courseName,courseLetter,courseNumber,Item,ItemType,,CourseName,CourseLetter,CourseNumber
ARC 102,ARC,102,ARC 286,Prereq,,BIO 215,BIO,215
ARC 102,ARC,102,ARC 289,Prereq,,BIO 220,BIO,220
ARC 102,ARC,102,"Architecture, B.Arch checksheet",Program,,BIO 289,BIO,289
ARC 110,ARC,110,ARC 101,Coreq,,BIO 294,BIO,294
ARC 110,ARC,110,ARC 102,Prereq,,BIO 304,BIO,304
ARC 110,ARC,110,ARC 120,Prereq,,BIO 310,BIO,310
ARC 110,ARC,110,ARC 123,Prereq,,BIO 311,BIO,311
ARC 110,ARC,110,ARC 261,Prereq,,BIO 320,BIO,320
ARC 110,ARC,110,"Architecture, B.Arch checksheet",Program,,BIO 321,BIO,321
ARC 111,ARC,111,ARC 212,Prereq,,BIO 322,BIO,322
ARC 111,ARC,111,ARC 312,Prereq,,BIO 324,BIO,324
ARC 111,ARC,111,ARC 431,Prereq,,BIO 340,BIO,340
ARC 111,ARC,111,ARC 441,Prereq,,BIO 345,BIO,345
ARC 111,ARC,111,ARC 509,Prereq,,BIO 394,BIO,394
ARC 111,ARC,111,ARH 105,CrossList,,BIO 420,BIO,420
ARC 111,ARC,111,ARH 214W,Prereq,,BIO 435,BIO,435
ARC 111,ARC,111,ARH 294,Prereq,,BIO 440,BIO,440
ARC 111,ARC,111,ARH 312,Prereq,,BIO 475,BIO,475
ARC 111,ARC,111,ARH 389,Prereq,,BIO 489,BIO,489
ARC 111,ARC,111,"Accounting, BSBA checksheet",Program,,BIO 490,BIO,490
ARC 111,ARC,111,"Applied Science, AAS checksheet",Program,,BIO 494,BIO,494
ARC 111,ARC,111,"Applied Science, BAS checksheet",Program,,BIO 495,BIO,495
ARC 111,ARC,111,"Architecture, B.Arch checksheet",Program,,BUA 100,BUA,100
ARC 111,ARC,111,"Art, BA checksheet",Program,,BUA 101,BUA,101
ARC 111,ARC,111,"Aviation-Flight Instructor Concentration, BS checksheet",Program,,BUA 151,BUA,151
ARC 111,ARC,111,"Aviation-Unmanned Aircraft Systems Concentration, BS checksheet",Program,,BUA 201,BUA,201
ARC 111,ARC,111,"Biology, BA (Pre-Med Track) checksheet",Program,,BUA 202,BUA,202
ARC 111,ARC,111,"Biology, BA checksheet",Program,,BUA 205,BUA,205
ARC 111,ARC,111,"Business Administration, AS checksheet",Program,,BUA 210,BUA,210
ARC 111,ARC,111,"Computer Information Systems, AS checksheet",Program,,BUA 211,BUA,211
ARC 111,ARC,111,"Computer Information Systems, BS checksheet",Program,,BUA 215,BUA,215
ARC 111,ARC,111,"Cybersecurity, AS checksheet",Program,,BUA 216,BUA,216
ARC 111,ARC,111,"Cybersecurity, BS checksheet",Program,,BUA 217,BUA,217
ARC 111,ARC,111,"Data Science, BS checksheet",Program,,BUA 222,BUA,222
ARC 111,ARC,111,"Dental Hygiene, BS checksheet",Program,,BUA 223,BUA,223
ARC 111,ARC,111,ENG 214W,Prereq,,BUA 230,BUA,230
ARC 111,ARC,111,"Information & Library Science, AS checksheet",Program,,BUA 241,BUA,241
ARC 111,ARC,111,"Information & Library Science, BS checksheet",Program,,BUA 242,BUA,242
ARC 111,ARC,111,"Interdisciplinary Studies, BA checksheet",Program,,BUA 243,BUA,243
ARC 111,ARC,111,"Justice Studies, AS checksheet",Program,,BUA 252,BUA,252
ARC 111,ARC,111,"Justice Studies, BS checksheet",Program,,BUA 253,BUA,253
ARC 111,ARC,111,"Liberal Studies, AA checksheet",Program,,BUA 259W,BUA,259W
ARC 111,ARC,111,"Liberal Studies, BA checksheet",Program,,BUA 276,BUA,276
ARC 111,ARC,111,"Management, BSBA checksheet",Program,,BUA 286,BUA,286
ARC 111,ARC,111,"Mental Health & Human Services, BS checksheet",Program,,BUA 289,BUA,289
ARC 111,ARC,111,"Nursing (4-Year), BSN checksheet",Program,,BUA 294,BUA,294
ARC 111,ARC,111,"Nursing (RN-BSN Completion), BSN checksheet",Program,,BUA 300,BUA,300
ARC 111,ARC,111,"Public Administration 2+2, BS checksheet",Program,,BUA 301,BUA,301
ARC 111,ARC,111,"Public Administration, AS checksheet",Program,,BUA 303,BUA,303
ARC 111,ARC,111,"Public Administration, BS checksheet",Program,,BUA 320,BUA,320
ARC 111,ARC,111,"Secondary Education, BS checksheet",Program,,BUA 343,BUA,343
ARC 111,ARC,111,"Social Science, AA checksheet",Program,,BUA 350,BUA,350
ARC 111,ARC,111,"Social Science, BA checksheet",Program,,BUA 351,BUA,351
ARC 111,ARC,111,"Veterinary Technology, BS checksheet",Program,,BUA 355,BUA,355
ARC 120,ARC,120,ARC 102,Coreq,,BUA 357,BUA,357
ARC 120,ARC,120,"Architecture, B.Arch checksheet",Program,,BUA 360,BUA,360
ARC 123,ARC,123,ARC 102,Coreq,,BUA 361,BUA,361
ARC 123,ARC,123,ARC 241,Prereq,,BUA 362,BUA,362
ARC 123,ARC,123,"Architecture, B.Arch checksheet",Program,,BUA 365,BUA,365
ARC 203,ARC,203,ARC 204,Prereq,,BUA 369,BUA,369
ARC 203,ARC,203,"Architecture, B.Arch checksheet",Program,,BUA 376,BUA,376
ARC 204,ARC,204,ARC 231,Prereq,,BUA 379,BUA,379
ARC 204,ARC,204,ARC 305,Prereq,,BUA 387,BUA,387
ARC 204,ARC,204,ARC 350,Prereq,,BUA 388,BUA,388
ARC 204,ARC,204,ARC 361,Prereq,,BUA 420,BUA,420
ARC 204,ARC,204,ARC 406,Prereq,,BUA 448,BUA,448
ARC 204,ARC,204,ARC 441,Prereq,,BUA 450,BUA,450
ARC 204,ARC,204,ARC 486,Prereq,,BUA 458,BUA,458
ARC 204,ARC,204,ARC 489,Prereq,,BUA 459,BUA,459
ARC 204,ARC,204,ARC 494,Prereq,,BUA 487,BUA,487
ARC 204,ARC,204,"Architecture, B.Arch checksheet",Program,,BUA 489,BUA,489
ARC 212,ARC,212,ARC 241,Prereq,,BUA 495,BUA,495
ARC 212,ARC,212,ARC 312,Prereq,,CHY 100,CHY,100
ARC 212,ARC,212,ARC 431,Prereq,,CHY 103,CHY,103
ARC 212,ARC,212,ARC 509,Prereq,,CHY 108,CHY,108
ARC 212,ARC,212,ARC 510,Prereq,,CHY 111,CHY,111
ARC 212,ARC,212,"Architecture, B.Arch checksheet",Program,,CHY 112,CHY,112
ARC 221,ARC,221,ARC 305,Coreq,,CHY 115,CHY,115
ARC 221,ARC,221,ARC 306,Prereq,,CHY 116,CHY,116
ARC 221,ARC,221,ARC 322,Prereq,,CHY 117,CHY,117
ARC 221,ARC,221,ARC 417,Prereq,,CHY 211,CHY,211
ARC 221,ARC,221,ARC 510,Prereq,,CHY 212,CHY,212
ARC 221,ARC,221,"Architecture, B.Arch checksheet",Program,,CHY 294,CHY,294
ARC 231,ARC,231,ARC 305,Coreq,,CHY 389,CHY,389
ARC 231,ARC,231,ARC 306,Prereq,,CHY 494,CHY,494
ARC 231,ARC,231,ARC 332,Prereq,,CIS 100,CIS,100
ARC 231,ARC,231,ARC 417,Prereq,,CIS 100G,CIS,100G
ARC 231,ARC,231,ARC 510,Prereq,,CIS 101,CIS,101
ARC 231,ARC,231,"Architecture, B.Arch checksheet",Program,,CIS 110,CIS,110
ARC 241,ARC,241,ARC 312,Prereq,,CIS 120,CIS,120
ARC 241,ARC,241,ARC 406,Prereq,,CIS 131,CIS,131
ARC 241,ARC,241,ARC 431,Prereq,,CIS 135,CIS,135
ARC 241,ARC,241,ARC 441,Prereq,,CIS 150,CIS,150
ARC 241,ARC,241,"Architecture, B.Arch checksheet",Program,,CIS 212,CIS,212
ARC 251,ARC,251,ARC 204,Coreq,,CIS 214,CIS,214
ARC 251,ARC,251,ARC 305,Prereq,,CIS 215,CIS,215
ARC 251,ARC,251,ARC 350,Prereq,,CIS 216,CIS,216
ARC 251,ARC,251,ARC 510,Prereq,,CIS 218,CIS,218
ARC 251,ARC,251,"Architecture, B.Arch checksheet",Program,,CIS 219,CIS,219
ARC 261,ARC,261,ARC 203,Coreq,,CIS 220,CIS,220
ARC 261,ARC,261,ARC 262,Prereq,,CIS 221,CIS,221
ARC 261,ARC,261,ARC 305,Prereq,,CIS 225,CIS,225
ARC 261,ARC,261,ARC 332,Prereq,,CIS 231,CIS,231
ARC 261,ARC,261,ARC 350,Prereq,,CIS 240,CIS,240
ARC 261,ARC,261,ARC 406,Prereq,,CIS 241,CIS,241
ARC 261,ARC,261,"Architecture, B.Arch checksheet",Program,,CIS 242,CIS,242
ARC 262,ARC,262,ARC 406,Prereq,,CIS 243,CIS,243
ARC 262,ARC,262,ARC 407,Prereq,,CIS 244,CIS,244
ARC 262,ARC,262,"Architecture, B.Arch checksheet",Program,,CIS 245,CIS,245
ARC 305,ARC,305,ARC 306,Prereq,,CIS 246,CIS,246
ARC 305,ARC,305,"Architecture, B.Arch checksheet",Program,,CIS 248,CIS,248
ARC 306,ARC,306,ARC 332,Coreq,,CIS 251,CIS,251
ARC 306,ARC,306,ARC 407,Prereq,,CIS 255,CIS,255
ARC 306,ARC,306,ARC 417,Prereq,,CIS 260,CIS,260
ARC 306,ARC,306,ARC 421,Prereq,,CIS 262,CIS,262
ARC 306,ARC,306,ARC 431,Prereq,,CIS 289,CIS,289
ARC 306,ARC,306,"Architecture, B.Arch checksheet",Program,,CIS 294,CIS,294
ARC 312,ARC,312,ARC 431,Prereq,,CIS 303,CIS,303
ARC 312,ARC,312,ARC 509,Prereq,,CIS 312,CIS,312
ARC 312,ARC,312,ARC 510,Prereq,,CIS 314,CIS,314
ARC 312,ARC,312,ARH 312,CrossList,,CIS 315,CIS,315
ARC 312,ARC,312,"Architecture, B.Arch checksheet",Program,,CIS 319,CIS,319
ARC 322,ARC,322,ARC 306,Coreq,,CIS 325,CIS,325
ARC 322,ARC,322,ARC 407,Prereq,,CIS 330,CIS,330
ARC 322,ARC,322,ARC 417,Prereq,,CIS 333,CIS,333
ARC 322,ARC,322,ARC 510,Prereq,,CIS 334,CIS,334
ARC 322,ARC,322,"Architecture, B.Arch checksheet",Program,,CIS 338,CIS,338
ARC 332,ARC,332,ARC 306,Coreq,,CIS 339,CIS,339
ARC 332,ARC,332,ARC 407,Prereq,,CIS 340,CIS,340
ARC 332,ARC,332,ARC 417,Prereq,,CIS 342,CIS,342
ARC 332,ARC,332,ARC 510,Prereq,,CIS 345,CIS,345
ARC 332,ARC,332,"Architecture, B.Arch checksheet",Program,,CIS 346,CIS,346
ARC 350,ARC,350,ARC 407,Prereq,,CIS 348,CIS,348
ARC 350,ARC,350,ARC 417,Prereq,,CIS 350,CIS,350
ARC 350,ARC,350,ARC 510,Prereq,,CIS 351,CIS,351
ARC 350,ARC,350,"Architecture, B.Arch checksheet",Program,,CIS 352,CIS,352
ARC 361,ARC,361,"Architecture, B.Arch checksheet",Program,,CIS 353,CIS,353
ARC 406,ARC,406,ARC 421,Prereq,,CIS 354,CIS,354
ARC 406,ARC,406,"Architecture, B.Arch checksheet",Program,,CIS 355,CIS,355
ARC 407,ARC,407,ARC 408,Prereq,,CIS 360,CIS,360
ARC 407,ARC,407,ARC 417,Coreq,,CIS 362,CIS,362
ARC 407,ARC,407,"Architecture, B.Arch checksheet",Program,,CIS 370,CIS,370
ARC 408,ARC,408,ARC 509,Prereq,,CIS 380,CIS,380
ARC 408,ARC,408,"Architecture, B.Arch checksheet",Program,,CIS 389,CIS,389
ARC 417,ARC,417,ARC 407,Coreq,,CIS 394,CIS,394
ARC 417,ARC,417,"Architecture, B.Arch checksheet",Program,,CIS 410,CIS,410
ARC 421,ARC,421,"Architecture, B.Arch checksheet",Program,,CIS 425,CIS,425
ARC 431,ARC,431,ARC 509,Coreq,,CIS 438,CIS,438
ARC 431,ARC,431,ARC 510,Prereq,,CIS 440,CIS,440
ARC 431,ARC,431,"Architecture, B.Arch checksheet",Program,,CIS 449,CIS,449
ARC 441,ARC,441,ARC 510,Prereq,,CIS 450,CIS,450
ARC 441,ARC,441,"Architecture, B.Arch checksheet",Program,,CIS 454,CIS,454
ARC 509,ARC,509,ARC 510,Prereq,,CIS 460,CIS,460
ARC 509,ARC,509,"Architecture, B.Arch checksheet",Program,,CIS 470,CIS,470
ARC 510,ARC,510,"Architecture, B.Arch checksheet",Program,,CIS 480,CIS,480
ARH 105,ARH,105,ARC 111,CrossList,,CIS 489,CIS,489
ARH 105,ARH,105,ARC 212,Prereq,,CIS 494,CIS,494
ARH 105,ARH,105,ARC 312,Prereq,,CNB 100,CNB,100
ARH 105,ARH,105,ARC 431,Prereq,,COE 117,COE,117
ARH 105,ARH,105,ARC 441,Prereq,,COE 219,COE,219
ARH 105,ARH,105,ARC 509,Prereq,,COL 100,COL,100
ARH 105,ARH,105,ARH 214W,Prereq,,COL 101,COL,101
ARH 105,ARH,105,ARH 294,Prereq,,COL 123,COL,123
ARH 105,ARH,105,ARH 312,Prereq,,COL 214,COL,214
ARH 105,ARH,105,ARH 389,Prereq,,COM 101,COM,101
ARH 105,ARH,105,"Accounting, BSBA checksheet",Program,,COM 102,COM,102
ARH 105,ARH,105,"Applied Science, AAS checksheet",Program,,COM 104,COM,104
ARH 105,ARH,105,"Applied Science, BAS checksheet",Program,,COM 106,COM,106
ARH 105,ARH,105,"Architecture, B.Arch checksheet",Program,,COM 160,COM,160
ARH 105,ARH,105,"Art, BA checksheet",Program,,COM 190,COM,190
ARH 105,ARH,105,"Aviation-Flight Instructor Concentration, BS checksheet",Program,,COM 205,COM,205
ARH 105,ARH,105,"Aviation-Unmanned Aircraft Systems Concentration, BS checksheet",Program,,COM 294,COM,294
ARH 105,ARH,105,"Biology, BA (Pre-Med Track) checksheet",Program,,COM 300,COM,300
ARH 105,ARH,105,"Biology, BA checksheet",Program,,COM 305,COM,305
ARH 105,ARH,105,"Business Administration, AS checksheet",Program,,COM 317,COM,317
ARH 105,ARH,105,"Computer Information Systems, AS checksheet",Program,,COM 320,COM,320
ARH 105,ARH,105,"Computer Information Systems, BS checksheet",Program,,COM 375,COM,375
ARH 105,ARH,105,"Cybersecurity, AS checksheet",Program,,COM 389,COM,389
ARH 105,ARH,105,"Cybersecurity, BS checksheet",Program,,COM 394,COM,394
